0.513393,0.515625,0.513393
0.488839,0.488839,0.486607
0.453125,0.453125,0.450893
0.462054,0.464286,0.462054
0.475446,0.477679,0.475446
0.504464,0.506696,0.504464
0.529018,0.531250,0.529018
0.551339,0.553571,0.551339
0.580357,0.582589,0.580357
0.633929,0.636161,0.633929
0.642857,0.645089,0.642857
0.629464,0.629464,0.627232
0.611607,0.611607,0.609375
0.616071,0.620536,0.616071
0.604911,0.604911,0.602679
0.578125,0.578125,0.575893
0.553571,0.553571,0.551339
0.542411,0.542411,0.540179
0.569196,0.571429,0.569196
0.569196,0.569196,0.564732
0.546875,0.546875,0.544643
0.546875,0.549107,0.546875
0.558036,0.562500,0.558036
0.555804,0.555804,0.553571
0.587054,0.589286,0.587054
0.571429,0.571429,0.569196
0.580357,0.584821,0.580357
0.587054,0.591518,0.587054
0.587054,0.589286,0.584821
0.578125,0.578125,0.575893
0.575893,0.575893,0.571429
0.555804,0.555804,0.553571
0.535714,0.535714,0.533482
0.508929,0.508929,0.504464
0.477679,0.477679,0.475446
0.493304,0.495536,0.493304
0.511161,0.513393,0.511161
0.511161,0.515625,0.511161
0.513393,0.515625,0.513393
0.491071,0.491071,0.486607
0.486607,0.488839,0.486607
0.473214,0.473214,0.470982
0.468750,0.468750,0.466518
0.459821,0.459821,0.455357
0.466518,0.468750,0.466518
0.486607,0.491071,0.486607
0.459821,0.459821,0.457589
0.435268,0.435268,0.433036
0.439732,0.441964,0.439732
0.428571,0.428571,0.424107
0.450893,0.453125,0.450893
0.457589,0.459821,0.457589
0.473214,0.477679,0.473214
0.475446,0.477679,0.475446
0.470982,0.470982,0.468750
0.466518,0.466518,0.464286
0.464286,0.464286,0.462054
0.462054,0.462054,0.457589
0.424107,0.424107,0.421875
0.404018,0.404018,0.401786
0.390625,0.390625,0.386161
0.401786,0.404018,0.401786
0.399554,0.399554,0.397321
0.412946,0.417411,0.412946
0.433036,0.437500,0.433036
0.459821,0.464286,0.459821
0.457589,0.457589,0.455357
0.459821,0.464286,0.459821
0.477679,0.482143,0.477679
0.477679,0.477679,0.475446
0.470982,0.470982,0.466518
0.459821,0.459821,0.457589
0.444196,0.444196,0.441964
0.441964,0.446429,0.441964
0.441964,0.441964,0.437500
0.435268,0.435268,0.433036
0.470982,0.473214,0.470982
